Artist,Birth,Death,Art Title,DoC,Estimate,price,Dimentions,close date,Auction Title
Alexander Calder ,1898,1976,Untitled,1957,"USD 2,500,000 – USD 4,500,000","USD 2,527,500",(127 x 221 x 142.2 cm.),15 Nov 2016,"2016 | LIVE AUCTION 12156
POST-WAR & CONTEMPORARY ART EVENING SALE"
A LARGE ETRUSCAN TERRACOTTA STATUE OF A GIRL,102,coiffure,CIRCA 3RD CENTURY B.C.,0,"GBP 80,000 – GBP 120,000","GBP 100,000",0,7 Dec 2016,"2016 | LIVE AUCTION 12459
FROM ANCIENT TO MODERN: A DISTINGUISHED PRIVATE COLLECTION"
Thomas Hart Benton ,1889,1975,Ozark Autumn,0,"USD 2,000,000 – USD 3,000,000","USD 4,869,000",(52.7 x 81.3 cm.),21 May 2015,"2015 | LIVE AUCTION 3744
AMERICAN ART"
Pablo Picasso ,1881,1973,Le dormeur,1956,"EUR 25,000 – EUR 35,000","EUR 25,000",0,17 Jun 2014,"2014 | LIVE AUCTION 3048
MODERN ART"
Attributed to Jan Breughel II ,Antwerp,1678,"Roses, tulips, daffodills, ranunculus and other flowers, in a celadon vase, on a table",0,"USD 60,000 – USD 80,000","USD 86,500",(46.9 x 64.7 cm.),31 Jan 2013,"2013 | LIVE AUCTION 2676
OLD MASTER PAINTINGS PART II"
Jean Dubuffet ,1901,1985,Marche en campagne (Webel 1171),0,"GBP 3,000 – GBP 5,000","GBP 4,750",0,27 Oct 2016,"2016 | LIVE AUCTION 11908
FIRST OPEN | EDITIONS"
Victor Brauner ,1903,1966,Personnage à la baignoire,0,"GBP 6,000 – GBP 8,000","GBP 7,500",(25.5 x 17.2 cm.),25 Jun 2014,"2014 | LIVE AUCTION 1533
IMPRESSIONIST/MODERN WORKS ON PAPER"
ROBERT MAPPLETHORPE ,1946,mounted,"Flower, 1983",0,"USD 8,000 - USD 12,000","USD 11,340",(48.2 x 38.1 cm.),5 Apr 2022,"23 Mar - 5 Apr 2022 | Online Auction 20475
Photographs"
Allen Jones ,1937,0,Spice (Lloyd 52),0,"GBP 800 – GBP 1,200","GBP 2,250",0,19 Sep 2013,"2013 | LIVE AUCTION 9401
PRINTS & MULTIPLES"
"FRENCH, LATE 19TH OR EARLY 20TH CENTURY",0,0,A boy and a girl in Chinese dress playing the drums,0,"GBP 3,000 – GBP 5,000","GBP 8,750",0,26 Jan 2022,"JANUARY 26 | LIVE AUCTION 20948
AU BORD DU LAC: AN INTERIOR BY FRANÇOIS-JOSEPH GRAF"
